Serial number:	"0185K24R"
Sensor Model:	"EM-USB J-50MT-10kHz"
Mode:	Energy
Wavelength:	 1064 nm
Attenuation Factor:	Off
Collection Mode:	Streaming every pulse
Date/Time:	11-22-2024	10:51:37
Sample #	Measurement
1 	 9.18700e-01
2 	 9.30200e-01
3 	 9.25800e-01
4 	 9.24300e-01
5 	 9.23900e-01
6 	 9.25500e-01
7 	 9.22300e-01
8 	 9.20300e-01
9 	 9.18800e-01
10 	 9.19500e-01
11 	 9.26600e-01
12 	 9.34800e-01
13 	 9.30900e-01
14 	 9.30200e-01
15 	 9.31600e-01
16 	 9.30000e-01
17 	 9.29800e-01
18 	 9.28300e-01
19 	 9.24200e-01
20 	 9.27900e-01
21 	 9.29800e-01
22 	 9.36600e-01
23 	 9.34200e-01
24 	 9.33100e-01
25 	 9.32200e-01
26 	 9.34500e-01
27 	 9.32100e-01
28 	 9.29600e-01
29 	 9.28200e-01
30 	 9.28600e-01
31 	 9.30500e-01
32 	 9.39900e-01
33 	 9.35700e-01
34 	 9.33000e-01
35 	 9.35300e-01
36 	 9.35000e-01
37 	 9.33200e-01
38 	 9.33000e-01
39 	 9.27500e-01
40 	 9.28700e-01
