Serial number:	"0096K23R"
Sensor Model:	"EM-USB J-50MB-YAG-1528"
Mode:	Energy
Wavelength:	 1064 nm
Attenuation Factor:	Off
Collection Mode:	Streaming every pulse
Date/Time:	09-02-2024	14:04:25
Sample #	Measurement
1 	 9.49200e-01
2 	 9.46600e-01
3 	 9.49400e-01
4 	 9.50600e-01
5 	 9.53000e-01
6 	 9.54700e-01
7 	 9.55300e-01
8 	 9.54400e-01
9 	 9.56100e-01
10 	 9.57000e-01
11 	 9.57800e-01
12 	 9.58500e-01
13 	 9.59900e-01
14 	 9.58300e-01
15 	 9.60800e-01
16 	 9.60400e-01
17 	 9.62100e-01
18 	 9.63100e-01
19 	 9.62900e-01
20 	 9.63800e-01
21 	 9.64800e-01
22 	 9.65900e-01
23 	 9.66700e-01
24 	 9.66100e-01
25 	 9.68000e-01
26 	 9.67100e-01
27 	 9.69700e-01
28 	 9.69900e-01
29 	 9.70100e-01
30 	 9.69500e-01
31 	 9.69900e-01
32 	 9.70100e-01
33 	 9.70100e-01
34 	 9.71600e-01
35 	 9.72000e-01
36 	 9.73100e-01
37 	 9.72600e-01
38 	 9.72600e-01
39 	 9.71400e-01
40 	 9.71800e-01
41 	 9.71200e-01
42 	 9.69700e-01
43 	 9.71600e-01
44 	 9.71200e-01
45 	 9.68200e-01
46 	 9.69700e-01
47 	 9.69300e-01
48 	 9.66500e-01
49 	 9.66900e-01
50 	 9.65900e-01
51 	 9.65000e-01
52 	 9.64400e-01
53 	 9.62900e-01
54 	 9.62300e-01
55 	 9.61200e-01
56 	 9.59900e-01
57 	 9.58900e-01
58 	 9.57800e-01
59 	 9.55700e-01
60 	 9.55500e-01
61 	 9.54000e-01
62 	 9.52500e-01
63 	 9.50900e-01
64 	 9.48500e-01
65 	 9.47000e-01
66 	 9.46000e-01
67 	 9.43200e-01
68 	 9.40900e-01
69 	 9.39400e-01
70 	 9.38200e-01
71 	 9.36500e-01
72 	 9.35000e-01
73 	 9.31800e-01
74 	 9.30300e-01
75 	 9.29700e-01
76 	 9.25700e-01
77 	 9.25700e-01
78 	 9.22900e-01
79 	 9.20400e-01
80 	 9.19800e-01
